date,process_name,total_cases,success_cases,failed_cases,sla_hours,actual_completion_hours,region,owner_team,success_rate,failure_rate,sla_breach
12/1/2025,Ads Review,106,93,13,48,23,AMER,Ops Team C,0.877358491,0.122641509,No
12/1/2025,Content Moderation,197,158,39,48,60,EMEA,Ops Team A,0.802030457,0.197969543,Yes
12/1/2025,Billing Ops,130,111,19,48,44,AMER,Ops Team B,0.853846154,0.146153846,No
12/1/2025,User Support,91,75,16,24,56,EMEA,Ops Team C,0.824175824,0.175824176,Yes
12/2/2025,Ads Review,156,151,5,48,38,APAC,Ops Team A,0.967948718,0.032051282,No
12/2/2025,Content Moderation,140,129,11,24,16,AMER,Ops Team C,0.921428571,0.078571429,No
12/2/2025,Billing Ops,199,197,2,48,34,EMEA,Ops Team C,0.989949749,0.010050251,No
12/2/2025,User Support,136,103,33,48,31,AMER,Ops Team C,0.757352941,0.242647059,No
12/3/2025,Ads Review,141,107,34,48,30,AMER,Ops Team C,0.758865248,0.241134752,No
12/3/2025,Content Moderation,180,173,7,24,36,AMER,Ops Team A,0.961111111,0.038888889,Yes
12/3/2025,Billing Ops,155,146,9,24,38,APAC,Ops Team C,0.941935484,0.058064516,Yes
12/3/2025,User Support,188,155,33,48,34,AMER,Ops Team A,0.824468085,0.175531915,No
12/4/2025,Ads Review,171,143,28,24,18,APAC,Ops Team C,0.83625731,0.16374269,No
12/4/2025,Content Moderation,150,138,12,48,56,AMER,Ops Team C,0.92,0.08,Yes
12/4/2025,Billing Ops,199,166,33,24,33,AMER,Ops Team A,0.834170854,0.165829146,Yes
12/4/2025,User Support,192,191,1,48,59,AMER,Ops Team C,0.994791667,0.005208333,Yes
12/5/2025,Ads Review,134,98,36,24,49,EMEA,Ops Team C,0.731343284,0.268656716,Yes
12/5/2025,Content Moderation,105,76,29,24,15,EMEA,Ops Team C,0.723809524,0.276190476,No
12/5/2025,Billing Ops,135,133,2,24,33,EMEA,Ops Team C,0.985185185,0.014814815,Yes
12/5/2025,User Support,110,93,17,24,60,EMEA,Ops Team B,0.845454545,0.154545455,Yes
12/6/2025,Ads Review,80,60,20,48,35,APAC,Ops Team A,0.75,0.25,No
12/6/2025,Content Moderation,107,105,2,48,37,AMER,Ops Team A,0.981308411,0.018691589,No
12/6/2025,Billing Ops,190,172,18,48,33,APAC,Ops Team B,0.905263158,0.094736842,No
12/6/2025,User Support,93,67,26,48,30,AMER,Ops Team B,0.720430108,0.279569892,No
12/7/2025,Ads Review,121,117,4,48,35,APAC,Ops Team C,0.966942149,0.033057851,No
12/7/2025,Content Moderation,173,134,39,24,17,AMER,Ops Team C,0.774566474,0.225433526,No
12/7/2025,Billing Ops,82,76,6,24,48,AMER,Ops Team C,0.926829268,0.073170732,Yes
12/7/2025,User Support,151,114,37,48,42,APAC,Ops Team B,0.754966887,0.245033113,No
12/8/2025,Ads Review,142,139,3,48,44,APAC,Ops Team C,0.978873239,0.021126761,No
12/8/2025,Content Moderation,151,150,1,48,59,AMER,Ops Team A,0.993377483,0.006622517,Yes
12/8/2025,Billing Ops,146,120,26,24,51,APAC,Ops Team B,0.821917808,0.178082192,Yes
12/8/2025,User Support,129,112,17,48,20,APAC,Ops Team B,0.868217054,0.131782946,No
12/9/2025,Ads Review,149,116,33,48,50,EMEA,Ops Team C,0.77852349,0.22147651,Yes
12/9/2025,Content Moderation,113,92,21,48,55,APAC,Ops Team C,0.814159292,0.185840708,Yes
12/9/2025,Billing Ops,182,143,39,48,21,AMER,Ops Team C,0.785714286,0.214285714,No
12/9/2025,User Support,98,96,2,48,44,AMER,Ops Team C,0.979591837,0.020408163,No
12/10/2025,Ads Review,106,79,27,48,24,APAC,Ops Team B,0.745283019,0.254716981,No
12/10/2025,Content Moderation,155,123,32,24,34,AMER,Ops Team A,0.793548387,0.206451613,Yes
12/10/2025,Billing Ops,188,149,39,24,52,AMER,Ops Team B,0.792553191,0.207446809,Yes
12/10/2025,User Support,128,122,6,48,53,APAC,Ops Team A,0.953125,0.046875,Yes
12/11/2025,Ads Review,200,153,47,24,20,EMEA,Ops Team A,0.765,0.235,No
12/11/2025,Content Moderation,116,113,3,24,48,EMEA,Ops Team B,0.974137931,0.025862069,Yes
12/11/2025,Billing Ops,139,112,27,48,53,EMEA,Ops Team A,0.805755396,0.194244604,Yes
12/11/2025,User Support,98,79,19,48,47,APAC,Ops Team B,0.806122449,0.193877551,No
12/12/2025,Ads Review,147,114,33,48,46,EMEA,Ops Team A,0.775510204,0.224489796,No
12/12/2025,Content Moderation,106,76,30,48,56,EMEA,Ops Team B,0.716981132,0.283018868,Yes
12/12/2025,Billing Ops,190,156,34,24,51,AMER,Ops Team C,0.821052632,0.178947368,Yes
12/12/2025,User Support,81,73,8,48,60,EMEA,Ops Team C,0.901234568,0.098765432,Yes
12/13/2025,Ads Review,130,129,1,48,58,APAC,Ops Team A,0.992307692,0.007692308,Yes
12/13/2025,Content Moderation,160,122,38,24,47,APAC,Ops Team C,0.7625,0.2375,Yes
12/13/2025,Billing Ops,114,90,24,24,44,EMEA,Ops Team A,0.789473684,0.210526316,Yes
12/13/2025,User Support,190,146,44,24,37,APAC,Ops Team B,0.768421053,0.231578947,Yes
12/14/2025,Ads Review,129,119,10,48,32,AMER,Ops Team B,0.92248062,0.07751938,No
12/14/2025,Content Moderation,158,136,22,48,37,AMER,Ops Team B,0.860759494,0.139240506,No
12/14/2025,Billing Ops,105,86,19,24,38,AMER,Ops Team A,0.819047619,0.180952381,Yes
12/14/2025,User Support,132,111,21,24,42,EMEA,Ops Team A,0.840909091,0.159090909,Yes
12/15/2025,Ads Review,162,133,29,48,54,EMEA,Ops Team C,0.820987654,0.179012346,Yes
12/15/2025,Content Moderation,150,150,0,48,48,APAC,Ops Team B,1,0,No
12/15/2025,Billing Ops,180,173,7,48,29,EMEA,Ops Team B,0.961111111,0.038888889,No
12/15/2025,User Support,115,106,9,48,43,AMER,Ops Team A,0.92173913,0.07826087,No
12/16/2025,Ads Review,161,123,38,48,59,APAC,Ops Team C,0.763975155,0.236024845,Yes
12/16/2025,Content Moderation,147,113,34,48,26,APAC,Ops Team A,0.768707483,0.231292517,No
12/16/2025,Billing Ops,109,104,5,48,27,AMER,Ops Team C,0.95412844,0.04587156,No
12/16/2025,User Support,172,139,33,48,12,APAC,Ops Team B,0.808139535,0.191860465,No
